# Transmissão óptica do Rubin: três espelhos e três lentes
# Rubin Observatory throughputs, release 1.9
# Source: https://github.com/lsst/throughputs/tree/main/baseline
# Produto de m1.dat, m2.dat, m3.dat, lens1.dat, lens2.dat e lens3.dat.
# Não inclui filtro, atmosfera ou detector. Valores reamostrados em passos de 1 nm.
# wavelength_nm,throughput
602.0,0.709836439
603.0,0.710365188
604.0,0.710935086
605.0,0.711333794
606.0,0.711647287
607.0,0.712555187
608.0,0.713160463
609.0,0.713605679
610.0,0.714007341
611.0,0.714558439
612.0,0.715091989
613.0,0.714961033
614.0,0.715261694
615.0,0.715656786
616.0,0.715894474
617.0,0.716041196
618.0,0.716297577
619.0,0.716407717
620.0,0.716678889
621.0,0.716635319
622.0,0.717111546
623.0,0.717551414
624.0,0.717580093
625.0,0.717968720
626.0,0.718411093
627.0,0.718820222
628.0,0.719270931
629.0,0.720004795
630.0,0.719970418
631.0,0.719836166
632.0,0.719844822
633.0,0.719945326
634.0,0.720050363
635.0,0.720004316
636.0,0.719997201
637.0,0.720233501
638.0,0.720366016
639.0,0.720638233
640.0,0.721094536
641.0,0.721712989
642.0,0.721587971
643.0,0.721499746
644.0,0.721455678
645.0,0.720940414
646.0,0.721153929
647.0,0.721912517
648.0,0.722428422
649.0,0.722443706
650.0,0.722358703
651.0,0.722828768
652.0,0.722740478
653.0,0.722904868
654.0,0.723225393
655.0,0.723006472
656.0,0.723177695
657.0,0.723731694
658.0,0.723953139
659.0,0.723879400
660.0,0.724403554
661.0,0.724588216
662.0,0.724913322
663.0,0.725378883
664.0,0.725054777
665.0,0.725608606
666.0,0.725202846
667.0,0.725308088
668.0,0.725214216
669.0,0.725141032
670.0,0.724774049
671.0,0.725373783
672.0,0.725219410
673.0,0.725684887
674.0,0.725655407
675.0,0.725684976
676.0,0.725906676
677.0,0.726143294
678.0,0.726032412
679.0,0.726335507
680.0,0.726283726
681.0,0.726394680
682.0,0.726779226
683.0,0.726964131
684.0,0.726779934
685.0,0.726877760
686.0,0.726648309
687.0,0.727054449
688.0,0.726726275
689.0,0.726488977
690.0,0.726540357
691.0,0.726364625
692.0,0.726638666
693.0,0.726549852
694.0,0.726727076
695.0,0.727081813
696.0,0.726579037
697.0,0.726771016
698.0,0.726822529
699.0,0.727214201
700.0,0.726563547
701.0,0.726925464
702.0,0.727376235
703.0,0.727095053
704.0,0.726983897
705.0,0.727279369
706.0,0.726902127
707.0,0.726879719
708.0,0.727212005
709.0,0.726960380
710.0,0.727270533
711.0,0.727033654
712.0,0.727277265
713.0,0.727284265
714.0,0.727787290
715.0,0.727647820
716.0,0.727168260
717.0,0.726881600
718.0,0.726891102
719.0,0.726413363
720.0,0.724247738
721.0,0.724111964
722.0,0.723778658
723.0,0.723593816
724.0,0.723453626
725.0,0.723167815
726.0,0.723168691
727.0,0.722999908
728.0,0.722756927
729.0,0.722946759
730.0,0.722966981
731.0,0.723045896
732.0,0.723368952
733.0,0.723670498
734.0,0.723981417
735.0,0.724066174
736.0,0.724101280
737.0,0.724004300
738.0,0.724290742
739.0,0.724039928
740.0,0.724260060
741.0,0.724149106
742.0,0.724185230
743.0,0.724118412
744.0,0.723926584
745.0,0.724080431
746.0,0.724072368
747.0,0.723895210
748.0,0.724137260
749.0,0.724048331
750.0,0.724047652
751.0,0.724032297
