# Eficiência quântica e revestimento antirreflexo dos CCDs LSSTCam
# Rubin Observatory throughputs, release 1.9
# Source: https://github.com/lsst/throughputs/blob/main/baseline/detector.dat
# Curva genérica derivada dos sensores ITL e e2v.
# Valores reamostrados em passos de 1 nm.
# wavelength_nm,throughput
300.0,0.000000000
301.0,0.000000000
302.0,0.000000000
303.0,0.000000000
304.0,0.000000000
305.0,0.000000000
306.0,0.000000000
307.0,0.000000000
308.0,0.000000000
309.0,0.000000000
310.0,0.000000000
311.0,0.000000000
312.0,0.000000000
313.0,0.000000000
314.0,0.000000000
315.0,0.000000000
316.0,0.000000000
317.0,0.000000000
318.0,0.000000000
319.0,0.000000000
320.0,0.000000000
321.0,0.466035080
322.0,0.475003000
323.0,0.483734360
324.0,0.486844050
325.0,0.489739520
326.0,0.492771840
327.0,0.495892160
328.0,0.499200000
329.0,0.502744750
330.0,0.506376300
331.0,0.510145440
332.0,0.514001400
333.0,0.518043040
334.0,0.522223050
335.0,0.526489340
336.0,0.530895200
337.0,0.535387600
338.0,0.539966180
339.0,0.544587300
340.0,0.549295200
341.0,0.554145900
342.0,0.559083840
343.0,0.564010580
344.0,0.569024160
345.0,0.573987000
346.0,0.579135480
347.0,0.584235500
348.0,0.589424100
349.0,0.594603420
350.0,0.599773460
351.0,0.604996290
352.0,0.610211000
353.0,0.615480820
354.0,0.620646400
355.0,0.625902360
356.0,0.631054200
357.0,0.636264720
358.0,0.641372480
359.0,0.646474640
360.0,0.651474240
361.0,0.656536080
362.0,0.661496640
363.0,0.666452880
364.0,0.671377350
365.0,0.676105080
366.0,0.680926500
367.0,0.685551360
368.0,0.690147900
369.0,0.694645800
370.0,0.699045120
371.0,0.703345920
372.0,0.707621490
373.0,0.711702920
374.0,0.715783490
375.0,0.719670000
376.0,0.723534000
377.0,0.727398000
378.0,0.731068800
379.0,0.734643000
380.0,0.738120600
381.0,0.741674970
382.0,0.745036820
383.0,0.748302720
384.0,0.751569280
385.0,0.754721280
386.0,0.757796130
387.0,0.760756920
388.0,0.763718870
389.0,0.766585250
390.0,0.769435520
391.0,0.772110840
392.0,0.774867240
393.0,0.777431520
394.0,0.779997240
395.0,0.782467500
396.0,0.784939140
397.0,0.787218240
398.0,0.789580000
399.0,0.791846400
400.0,0.794032600
401.0,0.796204890
402.0,0.798281550
403.0,0.800359650
404.0,0.802424480
405.0,0.804311040
406.0,0.806198880
407.0,0.808171000
408.0,0.809866740
409.0,0.811744340
410.0,0.813428420
411.0,0.815211360
412.0,0.816800480
413.0,0.818488460
414.0,0.820080030
415.0,0.821575040
416.0,0.823071150
417.0,0.824568360
418.0,0.825968760
419.0,0.827370160
420.0,0.828857120
421.0,0.830162550
422.0,0.831468880
423.0,0.832677940
424.0,0.834070930
425.0,0.835281720
426.0,0.836394980
427.0,0.837692460
428.0,0.838807240
429.0,0.839922720
430.0,0.841025700
431.0,0.842142600
432.0,0.843062900
433.0,0.844167920
434.0,0.845188080
435.0,0.846110030
436.0,0.847032480
437.0,0.847856520
438.0,0.848865690
439.0,0.849690620
440.0,0.850515950
441.0,0.851341680
442.0,0.852068640
443.0,0.852795900
444.0,0.853437480
445.0,0.854165310
446.0,0.854893440
447.0,0.855522460
448.0,0.856065600
449.0,0.856695000
450.0,0.857238480
451.0,0.857868260
452.0,0.858312450
453.0,0.858942560
454.0,0.859386960
455.0,0.859731680
456.0,0.860176200
457.0,0.860620800
458.0,0.860965600
459.0,0.861310400
460.0,0.861755160
461.0,0.862100000
462.0,0.862258600
463.0,0.862603400
464.0,0.862948200
465.0,0.863106660
466.0,0.863265060
467.0,0.863609780
468.0,0.863768080
469.0,0.863926320
470.0,0.864084500
471.0,0.864142290
472.0,0.864300320
473.0,0.864458290
474.0,0.864515780
475.0,0.864673600
476.0,0.864644820
477.0,0.864702000
478.0,0.864859590
479.0,0.864830550
480.0,0.864801430
481.0,0.864858200
482.0,0.864828900
483.0,0.864799520
484.0,0.864770060
485.0,0.864740520
486.0,0.864610200
487.0,0.864580480
488.0,0.864550680
489.0,0.864520800
490.0,0.864405060
491.0,0.864274250
492.0,0.864244130
493.0,0.864128220
494.0,0.864097960
495.0,0.863981950
496.0,0.863765040
497.0,0.863734560
498.0,0.863618400
499.0,0.863502200
500.0,0.863385960
501.0,0.863269680
502.0,0.863153360
503.0,0.863037000
504.0,0.862920600
505.0,0.862804160
506.0,0.862687680
507.0,0.862485740
508.0,0.862470180
509.0,0.862353610
510.0,0.862252620
511.0,0.862136000
512.0,0.862035000
513.0,0.862019340
514.0,0.861817320
515.0,0.861801620
516.0,0.861801620
517.0,0.861700600
518.0,0.861684870
519.0,0.861583840
520.0,0.861583840
521.0,0.861583840
522.0,0.861482810
523.0,0.861482810
524.0,0.861482810
525.0,0.861482810
526.0,0.861583840
527.0,0.861583840
528.0,0.861684870
529.0,0.861684870
530.0,0.861785900
531.0,0.861886930
532.0,0.861987960
533.0,0.862003660
534.0,0.862104680
535.0,0.862205700
536.0,0.862322370
537.0,0.862423380
538.0,0.862625400
539.0,0.862742000
540.0,0.862944000
541.0,0.863146000
542.0,0.863262520
543.0,0.863464500
544.0,0.863580960
545.0,0.863883900
546.0,0.864000290
547.0,0.864303200
548.0,0.864419520
549.0,0.864636750
550.0,0.864939600
551.0,0.865156740
552.0,0.865459560
553.0,0.865676610
554.0,0.865893600
555.0,0.866297280
556.0,0.866514170
557.0,0.866731000
558.0,0.867134600
559.0,0.867452220
560.0,0.867668880
561.0,0.867986350
562.0,0.868389830
563.0,0.868707180
564.0,0.869024450
565.0,0.869341640
566.0,0.869745000
567.0,0.870162900
568.0,0.870479880
569.0,0.870796780
570.0,0.871214400
571.0,0.871617600
572.0,0.872035080
573.0,0.872452460
574.0,0.872768970
575.0,0.873186160
576.0,0.873603250
577.0,0.874107000
578.0,0.874523940
579.0,0.874940780
580.0,0.875357520
581.0,0.875774160
582.0,0.876190700
583.0,0.876707830
584.0,0.877124160
585.0,0.877627560
586.0,0.878144410
587.0,0.878560480
588.0,0.879077100
589.0,0.879492960
590.0,0.880009350
591.0,0.880525620
592.0,0.880941160
593.0,0.881457200
594.0,0.882060800
595.0,0.882576660
596.0,0.882991820
597.0,0.883507450
598.0,0.884022960
599.0,0.884538350
600.0,0.885053620
601.0,0.885568770
602.0,0.886171950
603.0,0.886686920
604.0,0.887201770
605.0,0.887716500
606.0,0.888331600
607.0,0.888846080
608.0,0.889360440
609.0,0.889874680
610.0,0.890577900
611.0,0.891091950
612.0,0.891605880
613.0,0.892119690
614.0,0.892733800
615.0,0.893247360
616.0,0.893760800
617.0,0.894463600
618.0,0.894976850
619.0,0.895590360
620.0,0.896103360
621.0,0.896616240
622.0,0.897229350
623.0,0.897831450
624.0,0.898444360
625.0,0.898956800
626.0,0.899469120
627.0,0.900081630
628.0,0.900593700
629.0,0.901295800
630.0,0.901807680
631.0,0.902319440
632.0,0.902931350
633.0,0.903532970
634.0,0.904144680
635.0,0.904656000
636.0,0.905167200
637.0,0.905778510
638.0,0.906379890
639.0,0.906890780
640.0,0.907501760
641.0,0.908103020
642.0,0.908613600
643.0,0.909224250
644.0,0.909734580
645.0,0.910335660
646.0,0.910845810
647.0,0.911355840
648.0,0.911956800
649.0,0.912566800
650.0,0.913076520
651.0,0.913586120
652.0,0.914186900
653.0,0.914696320
654.0,0.915205620
655.0,0.915806280
656.0,0.916315400
657.0,0.916724310
658.0,0.917324850
659.0,0.917833680
660.0,0.918434160
661.0,0.918942810
662.0,0.919351280
663.0,0.919951640
664.0,0.920359950
665.0,0.920960250
666.0,0.921368400
667.0,0.921876480
668.0,0.922376630
669.0,0.922884540
670.0,0.923384640
671.0,0.923792370
672.0,0.924200000
673.0,0.924700000
674.0,0.925107480
675.0,0.925607430
676.0,0.926014760
677.0,0.926514660
678.0,0.926921840
679.0,0.927421690
680.0,0.927828720
681.0,0.928228560
682.0,0.928635450
683.0,0.929035250
684.0,0.929442000
685.0,0.929841760
686.0,0.930148440
687.0,0.930648090
688.0,0.930954640
689.0,0.931354320
690.0,0.931660750
691.0,0.932060390
692.0,0.932460030
693.0,0.932666400
694.0,0.933066000
695.0,0.933372160
696.0,0.933671830
697.0,0.933977880
698.0,0.934277520
699.0,0.934577160
700.0,0.934783200
701.0,0.935082810
702.0,0.935288760
703.0,0.935588340
704.0,0.935887920
705.0,0.936093750
706.0,0.936293450
707.0,0.936593000
708.0,0.936698880
709.0,0.936998400
710.0,0.937198080
711.0,0.937303870
712.0,0.937503530
713.0,0.937703190
714.0,0.937808900
715.0,0.938008540
716.0,0.938108360
717.0,0.938214000
718.0,0.938313810
719.0,0.938513430
720.0,0.938613240
721.0,0.938619000
722.0,0.938718800
723.0,0.938818600
724.0,0.938824320
725.0,0.938924110
726.0,0.939023900
727.0,0.939023900
728.0,0.939029580
729.0,0.939129360
730.0,0.939129360
731.0,0.939229140
732.0,0.939135010
733.0,0.939135010
734.0,0.939135010
735.0,0.939135010
736.0,0.939234780
737.0,0.939140640
738.0,0.939040880
739.0,0.939040880
740.0,0.939040880
741.0,0.939040880
742.0,0.939040880
743.0,0.938847000
744.0,0.938847000
745.0,0.938747250
746.0,0.938747250
747.0,0.938647500
748.0,0.938647500
749.0,0.938453660
750.0,0.938453660
751.0,0.938353920
752.0,0.938254180
753.0,0.938154440
754.0,0.938054700
755.0,0.938054700
756.0,0.937860920
757.0,0.937761190
758.0,0.937661460
759.0,0.937561730
760.0,0.937462000
761.0,0.937362270
762.0,0.937262540
763.0,0.937162810
764.0,0.936963350
765.0,0.936863620
766.0,0.936763890
767.0,0.936570240
768.0,0.936470520
769.0,0.936370800
770.0,0.936171360
771.0,0.936071640
772.0,0.935971920
773.0,0.935872200
774.0,0.935672760
775.0,0.935573040
776.0,0.935473320
777.0,0.935273880
778.0,0.935174160
779.0,0.935074440
780.0,0.934974720
781.0,0.934775280
782.0,0.934675560
783.0,0.934575840
784.0,0.934376400
785.0,0.934276680
786.0,0.934176960
787.0,0.934077240
788.0,0.933977520
789.0,0.933778080
790.0,0.933678360
791.0,0.933578640
792.0,0.933478920
793.0,0.933379200
794.0,0.933279480
795.0,0.933080040
796.0,0.932980320
797.0,0.932880600
798.0,0.932780880
799.0,0.932681160
800.0,0.932581440
801.0,0.932581440
802.0,0.932481720
803.0,0.932382000
804.0,0.932282280
805.0,0.932182560
806.0,0.932082840
807.0,0.932082840
808.0,0.931983120
809.0,0.932076580
810.0,0.931976850
811.0,0.931877120
812.0,0.931877120
813.0,0.931877120
814.0,0.931777390
815.0,0.931777390
816.0,0.931677660
817.0,0.931677660
818.0,0.931677660
819.0,0.931577930
820.0,0.931577930
821.0,0.931478200
822.0,0.931571600
823.0,0.931471860
824.0,0.931372120
825.0,0.931372120
826.0,0.931272380
827.0,0.931172640
828.0,0.931072900
829.0,0.930773680
830.0,0.930374720
831.0,0.929969250
832.0,0.929470500
833.0,0.929071500
834.0,0.928572750
835.0,0.928074000
836.0,0.927475500
837.0,0.926976750
838.0,0.926378250
839.0,0.925779750
840.0,0.925274000
841.0,0.924675440
842.0,0.924076880
843.0,0.923378560
844.0,0.922680240
845.0,0.921981920
846.0,0.921375950
847.0,0.920677560
848.0,0.919879400
849.0,0.919081240
850.0,0.918283080
851.0,0.917385150
852.0,0.916579080
853.0,0.915681060
854.0,0.914783040
855.0,0.913785240
856.0,0.912787440
857.0,0.911789640
858.0,0.910692060
859.0,0.909685640
860.0,0.908587950
861.0,0.907390470
862.0,0.906192990
863.0,0.904995510
864.0,0.903788800
865.0,0.902491400
866.0,0.901194000
867.0,0.899796800
868.0,0.898399600
869.0,0.896992470
870.0,0.895495320
871.0,0.893898360
872.0,0.892401210
873.0,0.890704440
874.0,0.889007670
875.0,0.887310900
876.0,0.885614130
877.0,0.883817550
878.0,0.881921160
879.0,0.880024770
880.0,0.878116540
881.0,0.876120140
882.0,0.874123740
883.0,0.872114880
884.0,0.869918620
885.0,0.867809280
886.0,0.865612800
887.0,0.863402950
888.0,0.861006550
889.0,0.858610150
890.0,0.856028160
891.0,0.853532160
892.0,0.850936320
893.0,0.848340480
894.0,0.845644800
895.0,0.842933700
896.0,0.840222040
897.0,0.837409950
898.0,0.834513720
899.0,0.831417750
900.0,0.828421650
901.0,0.825243040
902.0,0.821965200
