# Vega (Alpha Lyrae), CALSPEC alpha_lyr_stis_012.fits
# Source: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/current_calspec/alpha_lyr_stis_012.fits
# wavelength_nm,flux_W_m-2_nm-1
109.037700,1.917251297e-14
109.147000,1.934561018e-14
109.256400,1.984017117e-14
109.365900,2.026054888e-14
109.475600,2.023582040e-14
109.585300,1.934561018e-14
109.695200,1.843891359e-14
109.805100,1.901590213e-14
109.915200,1.998853990e-14
110.025400,2.129912999e-14
110.135700,2.330210460e-14
110.246100,2.528859500e-14
110.356600,2.713495878e-14
110.467300,2.857743122e-14
110.578000,3.060513431e-14
110.688900,3.450392966e-14
110.799800,4.507930921e-14
110.910900,7.827264878e-14
111.022100,1.541384381e-13
111.133400,2.415110126e-13
111.244800,3.420719263e-13
111.356300,3.899619863e-13
111.468000,4.793128394e-13
111.579700,8.489978165e-13
111.691600,8.564161880e-13
111.803500,8.283910363e-13
111.915600,1.179529946e-12
112.027800,1.148207709e-12
112.140100,7.464586588e-13
112.252600,7.245330724e-13
112.365100,1.332019772e-12
112.477700,1.641945191e-12
112.590500,1.678213124e-12
112.703400,1.393015842e-12
112.816300,8.547676456e-13
112.929400,6.184495277e-13
113.042700,1.005608999e-12
113.156000,1.514183501e-12
113.269400,1.569409463e-12
113.383000,1.377354619e-12
113.496600,1.513359160e-12
113.610400,1.874389255e-12
113.724300,1.837297120e-12
113.838300,1.305643232e-12
113.952500,7.240384681e-13
114.066700,7.628615795e-13
114.181000,1.080617540e-12
114.295500,1.110291303e-12
114.410100,1.151504794e-12
114.524800,1.501819363e-12
114.639600,1.602380312e-12
114.754500,1.523250415e-12
114.869600,1.650187903e-12
114.984700,1.758167223e-12
115.100000,1.753221596e-12
115.219995,1.661924348e-12
115.340002,2.281185935e-12
115.690002,3.376648960e-12
115.809998,3.943608773e-12
115.930005,2.118269171e-12
116.040002,1.152671569e-12
116.159998,2.222557832e-12
116.280005,2.614714278e-12
116.400000,1.279703843e-12
116.519995,4.361367170e-13
116.990002,4.184899649e-13
117.109998,6.671241337e-13
117.219995,1.636405594e-13
117.340002,6.833626720e-13
117.459998,1.132007543e-12
117.580005,5.619084711e-13
118.519995,2.065651469e-13
119.819995,1.216625585e-13
119.940002,2.355599917e-13
123.000000,2.894930476e-13
123.119995,3.802340387e-13
123.240002,6.549068232e-13
123.359998,5.424194080e-13
123.480005,5.689766019e-13
123.590002,3.630208634e-13
123.709998,3.190740380e-13
123.830005,8.495194131e-13
123.950000,1.152454104e-12
124.069995,8.469328711e-13
124.180005,1.326429799e-12
124.300000,1.631134394e-12
124.419995,8.250708450e-13
124.540002,5.653506135e-13
124.659998,7.594593010e-13
124.769995,9.329697431e-13
124.890002,1.150109175e-12
125.009998,1.770859015e-12
125.130005,2.123068665e-12
125.250000,2.297108476e-12
125.359998,2.574620794e-12
125.480005,2.785772169e-12
125.600000,3.108981406e-12
125.719995,3.115156466e-12
125.840002,3.182547559e-12
125.950000,3.059445475e-12
126.069995,3.466168463e-12
126.190002,5.586670015e-12
126.309998,5.994622576e-12
126.430005,5.577140416e-12
126.540002,6.593161572e-12
126.659998,7.672529834e-12
126.780005,1.049750509e-11
126.900000,1.246382442e-11
127.019995,1.228284807e-11
127.130005,1.284215290e-11
127.250000,1.232205893e-11
127.369995,1.114627501e-11
127.490002,1.072151923e-11
127.609998,1.158668939e-11
127.719995,1.359347190e-11
127.840002,1.571606845e-11
127.959998,1.831417573e-11
128.080005,2.127182208e-11
128.200000,2.332143811e-11
128.309998,2.452684944e-11
128.430005,2.379995756e-11
128.550000,2.196471893e-11
128.669995,2.144151079e-11
128.790002,2.143815570e-11
128.900000,2.353094164e-11
129.019995,2.585088810e-11
129.140002,2.776259889e-11
129.259998,2.975320657e-11
129.380005,3.067752719e-11
129.490002,3.130588233e-11
129.609998,3.111050084e-11
129.730005,3.033153506e-11
129.850000,2.877538874e-11
129.969995,2.663116394e-11
130.080005,2.237972918e-11
130.200000,2.005501765e-11
130.319995,2.018468503e-11
130.440002,2.058287096e-11
130.559998,2.053252679e-11
130.669995,2.134954213e-11
130.790002,2.194569859e-11
130.909998,2.194165294e-11
131.030005,2.427524182e-11
131.150000,2.828721923e-11
131.259998,3.303052054e-11
131.380005,3.758546807e-11
131.500000,4.083304805e-11
131.619995,4.193290604e-11
131.730005,4.266239806e-11
131.850000,4.411770504e-11
131.969995,4.525150921e-11
132.090002,4.522250130e-11
132.209998,4.414545618e-11
132.319995,4.413226673e-11
132.440002,4.240518159e-11
132.559998,4.238531304e-11
132.680005,4.267377562e-11
132.800000,4.264441689e-11
132.909998,4.188181357e-11
133.030005,4.306703882e-11
133.150000,3.972036033e-11
133.269995,3.614113453e-11
133.390002,3.475932653e-11
133.500000,3.788263481e-11
133.619995,4.222477479e-11
133.740002,4.966158595e-11
133.859998,5.393901326e-11
133.980005,5.585793605e-11
134.090002,5.651931367e-11
134.209998,5.632625033e-11
134.330005,5.806818582e-11
134.450000,5.617494914e-11
134.569995,5.633035371e-11
134.680005,5.572004635e-11
134.800000,5.522902136e-11
134.919995,5.403227199e-11
135.040002,5.139827230e-11
135.159998,4.944955556e-11
135.269995,4.703033962e-11
135.390002,4.673543330e-11
135.509998,4.550022137e-11
135.630005,4.615272164e-11
135.750000,4.751930849e-11
135.859998,5.109246803e-11
135.980005,5.165250450e-11
136.100000,5.034318740e-11
136.219995,5.159635386e-11
136.340002,5.098767186e-11
136.450000,5.028792494e-11
136.569995,5.142839488e-11
136.690002,5.158213412e-11
136.809998,5.088416799e-11
136.930005,5.168943940e-11
137.040002,5.293369743e-11
137.159998,5.321526775e-11
137.280005,5.468133057e-11
137.400000,5.698469696e-11
137.519995,5.778733936e-11
137.630005,5.654528845e-11
137.750000,5.563555394e-11
137.869995,5.663584712e-11
137.990002,5.435956130e-11
138.109998,5.367490896e-11
138.219995,5.735841135e-11
138.340002,5.738521214e-11
138.459998,5.581636486e-11
138.580005,5.549197990e-11
138.700000,5.584434692e-11
138.809998,5.745521392e-11
138.930005,5.719713592e-11
139.050000,5.731896291e-11
139.169995,5.649277046e-11
139.290002,5.547075244e-11
139.400000,5.472797326e-11
139.519995,5.483847598e-11
139.640002,5.388911095e-11
139.759998,5.269507941e-11
139.880005,5.420507598e-11
139.990002,5.719305030e-11
140.109998,5.775102618e-11
140.230005,5.783646895e-11
140.350000,5.814841941e-11
140.469995,5.960494764e-11
140.580005,6.282138809e-11
140.700000,6.249888607e-11
140.819995,6.000853592e-11
140.940002,5.889207788e-11
141.050000,5.918606494e-11
141.169995,6.028940458e-11
141.290002,6.289083476e-11
141.409998,6.361336791e-11
141.530005,6.277087738e-11
141.640002,6.576263534e-11
141.759998,6.534917940e-11
141.880005,6.524687013e-11
142.000000,6.545560094e-11
142.119995,6.503130479e-11
142.230005,6.529460528e-11
142.350000,6.638733119e-11
142.469995,6.707651323e-11
142.590002,6.716908363e-11
142.709998,6.737843616e-11
142.819995,6.470124880e-11
142.940002,6.179113665e-11
143.059998,6.002650377e-11
143.180005,5.762204047e-11
143.300000,5.914285506e-11
143.409998,6.245464590e-11
143.530005,6.144961873e-11
143.650000,6.390133311e-11
143.769995,6.663223306e-11
143.890002,6.453560797e-11
144.000000,6.662380869e-11
144.119995,6.784810491e-11
144.240002,6.654520490e-11
144.359998,6.711397660e-11
144.480005,6.874889547e-11
144.590002,7.040720451e-11
144.709998,7.226192089e-11
144.830005,7.197169971e-11
144.950000,7.275514413e-11
145.069995,7.263293966e-11
145.180005,7.281210745e-11
145.300000,7.284596926e-11
145.419995,7.251039325e-11
145.540002,7.244115974e-11
145.659998,7.240251509e-11
145.769995,7.239510769e-11
145.890002,7.021265791e-11
146.009998,6.957127319e-11
146.130005,7.166884863e-11
146.250000,6.960386489e-11
146.359998,6.652818296e-11
146.480005,6.506393202e-11
146.600000,6.706564637e-11
146.719995,6.705676459e-11
146.840002,6.500772809e-11
146.950000,6.501406080e-11
147.069995,6.459593305e-11
147.190002,6.238536354e-11
147.309998,6.298672250e-11
147.430005,6.417541165e-11
147.540002,6.660435314e-11
147.659998,6.901327509e-11
147.780005,6.954205656e-11
147.900000,6.709556022e-11
148.019995,6.481250647e-11
148.130005,6.546953202e-11
148.250000,6.543239728e-11
148.369995,6.509456085e-11
148.490002,6.736852409e-11
148.609998,7.102521238e-11
148.719995,7.457232165e-11
148.840002,7.484472597e-11
148.959998,7.193573737e-11
149.080005,6.952324938e-11
149.200000,6.933078112e-11
149.309998,6.984998802e-11
149.430005,7.063953422e-11
149.550000,7.392517709e-11
149.669995,7.869207508e-11
149.780005,7.973456562e-11
149.900000,7.911988398e-11
150.019995,7.898173671e-11
150.140002,7.807348545e-11
150.259998,7.729362039e-11
150.369995,7.641905775e-11
150.490002,7.362226384e-11
150.609998,7.083183817e-11
150.730005,6.749637738e-11
150.850000,6.584851331e-11
150.959998,6.504185190e-11
151.080005,6.470397995e-11
151.200000,6.645354489e-11
151.319995,6.869308677e-11
151.440002,6.989338441e-11
151.550000,7.107206379e-11
151.669995,7.170099181e-11
151.790002,7.332800589e-11
151.909998,7.726809415e-11
152.030005,7.816518099e-11
152.140002,7.465184915e-11
152.259998,7.312369821e-11
152.380005,7.177050509e-11
152.500000,6.926345719e-11
152.619995,6.878962733e-11
152.730005,6.835181754e-11
152.850000,6.720193291e-11
152.969995,6.978467582e-11
153.090002,6.943232655e-11
153.209998,6.657639773e-11
153.319995,6.659153229e-11
153.440002,6.834844246e-11
153.559998,7.234258526e-11
153.680005,7.307093153e-11
153.800000,7.390093870e-11
153.909998,7.531559376e-11
154.030005,7.406153468e-11
154.150000,7.235315902e-11
154.269995,7.249183032e-11
154.390002,7.289457038e-11
154.500000,7.163931226e-11
154.619995,7.143660330e-11
154.740002,7.450845274e-11
154.859998,7.550742254e-11
154.980005,7.411970593e-11
155.090002,7.187227258e-11
155.209998,7.220763987e-11
155.330005,7.244962408e-11
155.450000,7.146273351e-11
155.569995,6.855130241e-11
155.680005,6.538320996e-11
155.800000,6.451016610e-11
155.919995,6.410068920e-11
156.040002,6.422466559e-11
156.159998,6.685385134e-11
156.269995,6.855558343e-11
156.390002,6.922682871e-11
156.509998,7.225421594e-11
156.630005,7.354311382e-11
156.750000,7.301160565e-11
156.859998,7.052981754e-11
156.980005,6.810769282e-11
157.100000,6.917005191e-11
157.219995,6.899176341e-11
157.340002,6.851319068e-11
157.450000,6.983609246e-11
157.569995,7.025702686e-11
157.690002,7.186729434e-11
157.809998,7.387727763e-11
157.930005,7.490233322e-11
158.040002,7.464675100e-11
158.159998,7.505001065e-11
158.280005,7.418600845e-11
158.400000,7.379134193e-11
158.509998,7.437638061e-11
158.630005,7.331092622e-11
158.750000,7.351108167e-11
158.869995,7.322417783e-11
158.990002,7.326929286e-11
159.100000,7.320726692e-11
159.219995,7.105422029e-11
159.340002,7.182799244e-11
159.459998,7.256152124e-11
159.580005,7.284260750e-11
159.690002,7.360514420e-11
159.809998,7.339103991e-11
159.930005,7.198712737e-11
160.050000,7.179357997e-11
160.169995,7.166484739e-11
160.280005,6.967629140e-11
160.400000,7.094910881e-11
160.519995,7.163654114e-11
160.640002,7.227336063e-11
160.759998,7.222303644e-11
160.869995,7.282382697e-11
160.990002,7.298587068e-11
161.109998,7.226969245e-11
161.230005,7.234862043e-11
161.350000,7.338427199e-11
161.459998,7.286652615e-11
161.580005,7.443775818e-11
161.700000,7.402315649e-11
161.819995,7.285524184e-11
161.940002,7.256907963e-11
162.050000,7.393039958e-11
162.169995,7.474518782e-11
162.290002,7.428371696e-11
162.409998,7.320425155e-11
162.530005,7.246574896e-11
162.640002,7.274289171e-11
162.759998,7.250665846e-11
162.880005,7.181187200e-11
163.000000,7.190847917e-11
163.119995,7.194447260e-11
163.230005,7.125147583e-11
163.350000,7.114463241e-11
163.469995,7.294791438e-11
163.590002,7.258935675e-11
163.709998,7.118458267e-11
163.819995,7.343827324e-11
163.940002,7.350695608e-11
164.059998,7.140831482e-11
