wavelength_[nm],flux_[W/m²/nm]
336.0,7.622235836909129e-17
338.0,8.080992370164232e-17
340.0,7.196861899088446e-17
342.0,6.272532000769322e-17
344.0,5.899728434563382e-17
346.0,5.759399199576326e-17
348.0,5.783103118757774e-17
350.0,6.062748871682489e-17
352.0,6.523280126640694e-17
354.0,6.644696209316849e-17
356.0,6.204200570275003e-17
358.0,5.83465135457908e-17
360.0,5.818985582257781e-17
362.0,5.798972412640605e-17
364.0,6.032990374593462e-17
366.0,6.927142982917047e-17
368.0,8.012389308429114e-17
370.0,8.138990716323858e-17
372.0,7.120207270539844e-17
374.0,6.10664054398242e-17
376.0,6.053388159680846e-17
378.0,6.575185612572041e-17
380.0,6.390470960944615e-17
382.0,5.2795840627042995e-17
384.0,4.5567605426227766e-17
386.0,5.058593925055346e-17
388.0,5.994096134700246e-17
390.0,6.175889182872043e-17
392.0,5.554689409899978e-17
394.0,5.010044890968499e-17
396.0,5.3840728853680526e-17
398.0,6.757238964367234e-17
400.0,8.499453212674945e-17
402.0,9.896489249500134e-17
404.0,1.0535823843436933e-16
406.0,1.0591609270287648e-16
408.0,1.0469518417950398e-16
410.0,1.0456510814490365e-16
412.0,1.0580502754881977e-16
414.0,1.0746151872949305e-16
416.0,1.0775242588435821e-16
418.0,1.0653761588628567e-16
420.0,1.0451580085526125e-16
422.0,1.0229767988825314e-16
424.0,9.992033107050569e-17
426.0,9.722097879432314e-17
428.0,9.393544378771423e-17
430.0,9.119066393103917e-17
432.0,9.042038250662578e-17
434.0,9.275620713304585e-17
436.0,9.847510542205978e-17
438.0,1.0645386172577222e-16
440.0,1.1417110963160522e-16
442.0,1.1969593768050485e-16
444.0,1.2215940772282885e-16
446.0,1.222033346850786e-16
448.0,1.2140823138690775e-16
450.0,1.214222490589659e-16
452.0,1.2331100190481245e-16
454.0,1.2695739929236867e-16
456.0,1.3114916267963304e-16
458.0,1.3465582391677167e-16
460.0,1.3613414974334615e-16
462.0,1.354908767170563e-16
464.0,1.3331153704370092e-16
466.0,1.3053362662777714e-16
468.0,1.2879788213477005e-16
470.0,1.2838376318495362e-16
472.0,1.2955076785257802e-16
474.0,1.317187870258898e-16
476.0,1.3383831224407652e-16
478.0,1.3498465933011515e-16
480.0,1.3489388304841886e-16
482.0,1.3312389189357358e-16
484.0,1.3058434009564374e-16
486.0,1.2757159277072245e-16
488.0,1.2519700438099795e-16
490.0,1.2398468251732614e-16
492.0,1.2413125239409373e-16
494.0,1.251409947765428e-16
496.0,1.265227399040588e-16
498.0,1.2783506597700351e-16
