wavelength_[nm],flux_[W/m²/nm]
336.0,1.524800889815228e-17
338.0,8.573569622356405e-18
340.0,9.490060992964765e-18
342.0,1.239042648028298e-17
344.0,1.1029545652775339e-17
346.0,7.07412783236397e-18
348.0,6.494118434767934e-18
350.0,1.0015959747887653e-17
352.0,1.2168340554813359e-17
354.0,9.683702367312623e-18
356.0,6.923741978342646e-18
358.0,7.723533723794245e-18
360.0,9.330432629206996e-18
362.0,9.071112125560275e-18
364.0,8.205590667240653e-18
366.0,8.985195269337831e-18
368.0,1.0936227115651906e-17
370.0,1.1555090628659079e-17
372.0,1.0246974187809554e-17
374.0,8.993287723171203e-18
376.0,9.045820548514732e-18
378.0,9.145829268056024e-18
380.0,7.230053983653405e-18
382.0,3.950591080856615e-18
384.0,2.4884619619337777e-18
386.0,4.400759987951712e-18
388.0,7.789596484051929e-18
390.0,9.886733498285497e-18
392.0,1.0036505375145071e-17
394.0,9.538867802246744e-18
396.0,1.0007937888296501e-17
398.0,1.1961743394578942e-17
400.0,1.4620954591747424e-17
402.0,1.6824501928926782e-17
404.0,1.7793032814969216e-17
406.0,1.7841266699268806e-17
408.0,1.7846253352084634e-17
410.0,1.846757162613674e-17
412.0,1.9641406397266797e-17
414.0,2.0771833770820467e-17
416.0,2.1048122408231065e-17
418.0,2.0283753592930406e-17
420.0,1.897458897962307e-17
422.0,1.7959442605355744e-17
424.0,1.7870748492538405e-17
426.0,1.877896003991626e-17
428.0,2.0132370140177987e-17
430.0,2.1349514168376445e-17
432.0,2.2092758865033852e-17
434.0,2.2486405563131195e-17
436.0,2.3036164544420823e-17
438.0,2.4195038902346063e-17
440.0,2.594792874008849e-17
442.0,2.797789381936729e-17
444.0,2.975118282565899e-17
446.0,3.085300605081443e-17
448.0,3.117868989998377e-17
450.0,3.096800531640777e-17
452.0,3.070390487599444e-17
454.0,3.082143523684596e-17
456.0,3.148707689128582e-17
458.0,3.264335009600446e-17
460.0,3.3895488270382916e-17
462.0,3.49000421377027e-17
464.0,3.53880500536095e-17
466.0,3.52572940910286e-17
468.0,3.480050468954039e-17
470.0,3.418440745556177e-17
472.0,3.374788975473421e-17
474.0,3.3659037402004884e-17
476.0,3.389481943582378e-17
478.0,3.431915609305332e-17
480.0,3.480697429844107e-17
482.0,3.5072898535484793e-17
484.0,3.51370171388044e-17
486.0,3.4883742513922116e-17
488.0,3.449316431323475e-17
490.0,3.408410909669439e-17
492.0,3.3768182501525e-17
494.0,3.351603092704067e-17
496.0,3.330774594901059e-17
498.0,3.3108843288710395e-17
500.0,3.2795116600958894e-17
502.0,3.215707749706569e-17
504.0,3.132784552108349e-17
506.0,3.0275235802357055e-17
508.0,2.916856954658155e-17
510.0,2.820724230240763e-17
512.0,2.7543280518419953e-17
514.0,2.735062067637011e-17
516.0,2.7708326100635622e-17
518.0,2.859698497727244e-17
520.0,2.986752186302613e-17
522.0,3.1459439175146786e-17
524.0,3.315836060499552e-17
526.0,3.47291164521915e-17
528.0,3.606624538695956e-17
530.0,3.707314413948186e-17
532.0,3.762638247950789e-17
534.0,3.783016847596021e-17
536.0,3.7836340141669405e-17
538.0,3.768318326013904e-17
540.0,3.7470279963121875e-17
542.0,3.738892954996095e-17
544.0,3.752908133955297e-17
546.0,3.7801141927354045e-17
548.0,3.831007062420218e-17
550.0,3.9020448607608834e-17
552.0,3.989040256291751e-17
554.0,4.0700638706832326e-17
556.0,4.1565146710503786e-17
558.0,4.233496721225412e-17
560.0,4.2935462829234154e-17
562.0,4.338013237171554e-17
564.0,4.3685564111541675e-17
566.0,4.388888836278724e-17
568.0,4.3981803263802736e-17
570.0,4.410931258733303e-17
572.0,4.427706513068483e-17
574.0,4.431300909644451e-17
576.0,4.431010950411629e-17
578.0,4.418377066124351e-17
580.0,4.4073175598741226e-17
582.0,4.3892898101301816e-17
584.0,4.3628066163879885e-17
586.0,4.3537091540119166e-17
588.0,4.3517149032177504e-17
590.0,4.3659535712991796e-17
592.0,4.4062973110365646e-17
594.0,4.4393151201605564e-17
596.0,4.47711423629465e-17
598.0,4.532269489296e-17
600.0,4.5896822071209444e-17
602.0,4.6436054036947795e-17
604.0,4.679737077731271e-17
606.0,4.702705697348499e-17
608.0,4.706786585908579e-17
610.0,4.698654809548972e-17
612.0,4.6820582025790154e-17
614.0,4.65712555201608e-17
616.0,4.625919105874166e-17
618.0,4.598676362345512e-17
620.0,4.5568673141841735e-17
622.0,4.5301303959633823e-17
624.0,4.534756092740866e-17
626.0,4.5415668535301425e-17
628.0,4.55863796683595e-17
630.0,4.583689218095179e-17
632.0,4.6035074018694915e-17
634.0,4.630014877327291e-17
636.0,4.680308695960488e-17
638.0,4.766273939855812e-17
640.0,4.847401159317452e-17
642.0,4.926871997635834e-17
644.0,4.8285436692014345e-17
646.0,4.690482886148939e-17
648.0,4.670077205842607e-17
650.0,4.767908361379429e-17
652.0,4.901637090955159e-17
654.0,4.99292963042445e-17
656.0,4.9992108721545235e-17
658.0,4.936514367949511e-17
660.0,4.85836789334144e-17
662.0,4.811257604590416e-17
664.0,4.8151085181154085e-17
666.0,4.8587067539610483e-17
668.0,4.928862298699554e-17
670.0,4.9977585020059517e-17
672.0,5.0316631186545816e-17
674.0,5.020568599836484e-17
676.0,4.991364422913261e-17
678.0,4.9437796407737796e-17
680.0,4.907841860425611e-17
682.0,4.903247110595261e-17
684.0,4.924140854975213e-17
686.0,4.9588525676688616e-17
688.0,4.9882887022838605e-17
690.0,4.988327773829156e-17
692.0,4.9469941801033706e-17
694.0,4.901307371905009e-17
696.0,4.8606904170849496e-17
698.0,4.856308080225668e-17
700.0,4.8935185426607705e-17
702.0,4.9753349438543876e-17
704.0,5.0422111988336765e-17
706.0,5.0732755130869396e-17
708.0,5.0560834323035125e-17
710.0,4.978816655865033e-17
712.0,4.8824244744748737e-17
714.0,4.811000223861819e-17
716.0,4.799538478207468e-17
718.0,4.846642189170695e-17
720.0,4.916887429592129e-17
722.0,4.99482536494702e-17
724.0,5.0141249295080646e-17
726.0,4.97437307000436e-17
728.0,4.9016113886457446e-17
730.0,4.8083909421085194e-17
732.0,4.732129577521917e-17
734.0,4.708432667051332e-17
736.0,4.7483234591359525e-17
738.0,4.81604841367802e-17
740.0,4.88716572046673e-17
742.0,4.940229980818555e-17
744.0,4.9494730860518044e-17
746.0,4.9234977793023176e-17
748.0,4.8730666493931627e-17
750.0,4.833973482825682e-17
752.0,4.800317560502234e-17
754.0,4.7959359049147376e-17
756.0,4.793259051369639e-17
758.0,4.8004106823418867e-17
760.0,4.805972450300964e-17
762.0,4.792611469866009e-17
764.0,4.776572581458411e-17
766.0,4.768311158662886e-17
768.0,4.769850043168289e-17
770.0,4.7944083975426815e-17
772.0,4.815364221331558e-17
774.0,4.8319447436890317e-17
776.0,4.844230595387346e-17
778.0,4.841282974967423e-17
780.0,4.822047124532534e-17
782.0,4.782250655955479e-17
784.0,4.757011261712401e-17
786.0,4.7325804305972866e-17
788.0,4.714524717575924e-17
790.0,4.705858703105771e-17
792.0,4.696644534199601e-17
794.0,4.689138552987347e-17
796.0,4.6758559234392084e-17
798.0,4.647039839800211e-17
800.0,4.62063611747938e-17
802.0,4.589673068776831e-17
804.0,4.5621701448298755e-17
806.0,4.553744473443291e-17
808.0,4.5466292034104276e-17
810.0,4.540526735604513e-17
812.0,4.5346964207762306e-17
814.0,4.507962629043584e-17
816.0,4.497279727305238e-17
818.0,4.469675813022304e-17
820.0,4.4508303351722586e-17
822.0,4.4276825339217973e-17
824.0,4.416747865158332e-17
826.0,4.427806415418888e-17
828.0,4.44458302390357e-17
830.0,4.4594696049913585e-17
832.0,4.470787216261677e-17
834.0,4.4599468562021635e-17
836.0,4.437152995092709e-17
838.0,4.413324776629636e-17
840.0,4.363388664461512e-17
842.0,4.318012005866261e-17
844.0,4.257063805072588e-17
846.0,4.24086759130393e-17
848.0,4.237832468434912e-17
850.0,4.249889975448892e-17
