wavelength_[nm],flux_[W/m²/nm]
804.0,2.4465156834840083e-16
806.0,2.4358867036962297e-16
808.0,2.4255841221698243e-16
810.0,2.417495481325503e-16
812.0,2.4122544087127913e-16
814.0,2.3981583697733363e-16
816.0,2.393078431333375e-16
818.0,2.37698409769509e-16
820.0,2.3612902940670415e-16
822.0,2.3380111367640576e-16
824.0,2.316610497511484e-16
826.0,2.30458001775017e-16
828.0,2.2968220232860283e-16
830.0,2.292855735541985e-16
832.0,2.2941270426900265e-16
834.0,2.291479394657212e-16
836.0,2.2884173148755804e-16
838.0,2.28718803627414e-16
840.0,2.2705877699137494e-16
842.0,2.250609818503007e-16
844.0,2.2143419327241287e-16
846.0,2.192937940998943e-16
848.0,2.1719550924425945e-16
850.0,2.1562077850087933e-16
852.0,2.1388073929081627e-16
854.0,2.132100540035979e-16
856.0,2.129615087140028e-16
858.0,2.132923463049926e-16
860.0,2.1306783895262015e-16
862.0,2.1237782164170066e-16
864.0,2.1178086330515683e-16
866.0,2.108934414333967e-16
868.0,2.1112508804125027e-16
870.0,2.0897192264606336e-16
872.0,2.0890900771015085e-16
874.0,2.0824073821990847e-16
876.0,2.084311261484204e-16
878.0,2.090079717552757e-16
880.0,2.1089289499862833e-16
882.0,2.114193897290796e-16
884.0,2.1155369161634519e-16
886.0,2.1092180710607524e-16
888.0,2.1010828924045089e-16
890.0,2.0922982191642324e-16
892.0,2.0763064566897351e-16
894.0,2.057764594699029e-16
896.0,2.0497770122493791e-16
898.0,2.0353440956305677e-16
900.0,2.0294286230853535e-16
902.0,2.0267117619457767e-16
904.0,2.0189721647654108e-16
906.0,2.0101554941458797e-16
908.0,2.0115801424788227e-16
910.0,1.99706415686952e-16
912.0,1.982589174279681e-16
914.0,1.970057786924889e-16
916.0,1.9578507581325066e-16
918.0,1.9316070655431334e-16
920.0,1.9178275271170707e-16
922.0,1.9214291613469353e-16
924.0,1.9108339599251385e-16
926.0,1.9065052985443138e-16
928.0,1.920766867744195e-16
930.0,1.9244563290460109e-16
932.0,1.9262877857206583e-16
934.0,1.933025367684129e-16
936.0,1.9345129333507492e-16
938.0,1.9333992485769062e-16
940.0,1.9166973212714165e-16
942.0,1.895734968393873e-16
944.0,1.8944129605649934e-16
946.0,1.8641356953014755e-16
948.0,1.8433604920772224e-16
950.0,1.8468742036439292e-16
952.0,1.829545614020255e-16
954.0,1.829544365292951e-16
956.0,1.8495649006111263e-16
958.0,1.860437421684291e-16
960.0,1.8792168719765619e-16
962.0,1.8986117434758825e-16
964.0,1.9208798221884963e-16
966.0,1.918107377613878e-16
968.0,1.9233247597444638e-16
970.0,1.9274160602913237e-16
972.0,1.8963863896448799e-16
974.0,1.8907336607540042e-16
976.0,1.8685513763945163e-16
978.0,1.8284417142438408e-16
980.0,1.829788125808023e-16
982.0,1.797116984136229e-16
984.0,1.7977150166064114e-16
986.0,1.8023246609266738e-16
988.0,1.7993869013209154e-16
990.0,1.844120271334605e-16
992.0,1.859217656079719e-16
994.0,1.9076379932232482e-16
996.0,1.9556584098829665e-16
998.0,1.9838093701735637e-16
1000.0,2.0286163102745406e-16
1002.0,2.0596019162196006e-16
1004.0,2.0734567597959919e-16
1006.0,2.1116677574085796e-16
1008.0,2.1111403625886338e-16
1010.0,2.1377263365689232e-16
1012.0,2.180375036018428e-16
1014.0,2.1944250511849802e-16
1016.0,2.2847887694872287e-16
1018.0,2.32473969489754e-16
1020.0,2.453988872002566e-16
