wavelength_[nm],flux_[W/m²/nm]
336.0,2.9369380804676004e-16
338.0,2.8433976632314135e-16
340.0,2.5439267121438415e-16
342.0,2.472432071885744e-16
344.0,2.5598558613572393e-16
346.0,2.504633314269517e-16
348.0,2.3947903475425486e-16
350.0,2.4916712962384513e-16
352.0,2.7811060144791814e-16
354.0,2.8570991896332784e-16
356.0,2.5980398329960235e-16
358.0,2.4701749120513277e-16
360.0,2.5891275173381455e-16
362.0,2.603339685643091e-16
364.0,2.5020458786519484e-16
366.0,2.574459459917184e-16
368.0,2.858341944239213e-16
370.0,2.9940784174585535e-16
372.0,2.814747573562692e-16
374.0,2.653080742295369e-16
376.0,2.831672752580614e-16
378.0,3.182720870316096e-16
380.0,3.2024377625465927e-16
382.0,2.85748685659066e-16
384.0,2.720438748876427e-16
386.0,3.049716803932467e-16
388.0,3.394676776476996e-16
390.0,3.2690746977460236e-16
392.0,2.797914578341877e-16
394.0,2.472839368474881e-16
396.0,2.6446052195671334e-16
398.0,3.232503808562901e-16
400.0,3.853193498178065e-16
402.0,4.1892987731451366e-16
404.0,4.1650012976377574e-16
406.0,3.9939819099927123e-16
408.0,3.9248927706925944e-16
410.0,4.0462094029320627e-16
412.0,4.257922030342165e-16
414.0,4.411053951454944e-16
416.0,4.396401254809647e-16
418.0,4.255942548469982e-16
420.0,4.1046354711399815e-16
422.0,4.0286988262220313e-16
424.0,4.027486396219764e-16
426.0,4.037037393526109e-16
428.0,3.9754169429235216e-16
430.0,3.846366446115994e-16
432.0,3.7129930235154744e-16
434.0,3.6628697937676373e-16
436.0,3.757722758403682e-16
438.0,3.984479158101887e-16
440.0,4.2471117183932656e-16
442.0,4.449798732165441e-16
444.0,4.531392785759545e-16
446.0,4.497460758116786e-16
448.0,4.405166208375602e-16
450.0,4.3277339953684754e-16
452.0,4.321655390640286e-16
454.0,4.396261969626909e-16
456.0,4.512919357213385e-16
458.0,4.623869549706693e-16
460.0,4.673926186326028e-16
462.0,4.652307404112395e-16
464.0,4.575564231767906e-16
466.0,4.475990996496206e-16
468.0,4.4114798694559536e-16
470.0,4.392363880009729e-16
472.0,4.426209106685967e-16
474.0,4.490118347991026e-16
476.0,4.544988896277805e-16
478.0,4.557617668751401e-16
480.0,4.519979480585543e-16
482.0,4.421127704168102e-16
484.0,4.297539008605039e-16
486.0,4.1658964597892096e-16
488.0,4.068528253834895e-16
490.0,4.025778871131412e-16
492.0,4.044186983031152e-16
494.0,4.1049796572272176e-16
496.0,4.187706718264246e-16
498.0,4.273199630043132e-16
500.0,4.336782944121741e-16
502.0,4.3472138179328386e-16
504.0,4.321843207783122e-16
506.0,4.2560737832509946e-16
508.0,4.1702846948588384e-16
510.0,4.085935430293857e-16
512.0,4.0151200768100613e-16
514.0,3.972925877160962e-16
516.0,3.9633914552028025e-16
518.0,3.9814423570871005e-16
520.0,4.0103860610135835e-16
522.0,4.05166360112912e-16
524.0,4.0898951779005676e-16
526.0,4.1102583997368444e-16
528.0,4.114036233237154e-16
530.0,4.1011795902072387e-16
532.0,4.0657021601005763e-16
534.0,4.0223971833379655e-16
536.0,3.985970550245625e-16
538.0,3.9550379411611505e-16
540.0,3.9318002204643585e-16
542.0,3.9265335349592345e-16
544.0,3.9390080967862877e-16
546.0,3.9517759031427714e-16
548.0,3.9705799215361064e-16
550.0,3.9896853324390695e-16
552.0,4.0058441350915957e-16
554.0,4.0008971819167976e-16
556.0,3.991968409708595e-16
558.0,3.970957003281342e-16
560.0,3.9375706968881666e-16
562.0,3.899106573640235e-16
564.0,3.861666507959874e-16
566.0,3.831432735587965e-16
568.0,3.8087718870246457e-16
570.0,3.8054956980264664e-16
572.0,3.819644322407827e-16
574.0,3.8326117128033163e-16
576.0,3.84765526266483e-16
578.0,3.852301882700548e-16
580.0,3.853939924496197e-16
582.0,3.841437066238086e-16
584.0,3.811228070815223e-16
586.0,3.78509642099727e-16
588.0,3.7544056190432767e-16
590.0,3.728230803883282e-16
592.0,3.7164910363791194e-16
594.0,3.692889503107545e-16
596.0,3.67015043690345e-16
598.0,3.660819792744894e-16
600.0,3.654707193498109e-16
602.0,3.649472391951779e-16
604.0,3.636039387836969e-16
606.0,3.61986956205582e-16
608.0,3.5976883347456763e-16
610.0,3.5750131477374814e-16
612.0,3.554266314025758e-16
614.0,3.534435353191931e-16
616.0,3.5154680111816556e-16
618.0,3.5032189984626905e-16
620.0,3.4815449367834247e-16
622.0,3.4711489769944316e-16
624.0,3.482976131028787e-16
626.0,3.4933602311647646e-16
628.0,3.507495717169025e-16
630.0,3.5229405864535303e-16
632.0,3.529145504262809e-16
634.0,3.5351363359296253e-16
636.0,3.5128954554315185e-16
638.0,3.469386887584598e-16
640.0,3.4310452378896654e-16
642.0,3.4207159961314415e-16
644.0,3.3451039271818637e-16
646.0,3.2520362801119974e-16
648.0,3.197061033701002e-16
650.0,3.1806053074775616e-16
652.0,3.1695648413847575e-16
654.0,3.14692473627641e-16
656.0,3.1157558334955925e-16
658.0,3.0964867955310064e-16
660.0,3.106294286601971e-16
662.0,3.1396089641378006e-16
664.0,3.1741975809701504e-16
666.0,3.186099656349674e-16
668.0,3.1760467477822943e-16
670.0,3.1538637407778925e-16
672.0,3.1284500947849087e-16
674.0,3.1102996572479377e-16
676.0,3.11139363618225e-16
678.0,3.110063127956024e-16
680.0,3.100053958459931e-16
682.0,3.07976492231578e-16
684.0,3.0501626848720746e-16
686.0,3.0241196824347237e-16
688.0,3.013186153130851e-16
690.0,3.0154627536171754e-16
692.0,3.0184468482704356e-16
694.0,3.0240282211247235e-16
696.0,3.012750920771664e-16
698.0,2.9870958117001853e-16
700.0,2.951323570829738e-16
702.0,2.925415944664069e-16
704.0,2.9003428630329595e-16
706.0,2.885852292759222e-16
