wavelength_[nm],flux_[W/m²/nm]
336.0,-7.504854548721951e-19
338.0,3.610158857880149e-18
340.0,9.688075732711373e-18
342.0,9.517993265940195e-18
344.0,5.046251927064199e-18
346.0,2.1399176078487373e-18
348.0,2.625926069296684e-18
350.0,4.584678469975232e-18
352.0,7.812240443807526e-18
354.0,1.2023106943775236e-17
356.0,1.1505582094427828e-17
358.0,5.239664486099668e-18
360.0,8.454701888130829e-19
362.0,2.9789136418896854e-18
364.0,7.989589086831908e-18
366.0,8.334017162092797e-18
368.0,2.9911893898616675e-18
370.0,-2.5055971837194324e-19
372.0,4.101559542817407e-18
374.0,1.045835649195204e-17
376.0,9.736727104543769e-18
378.0,2.1943120029878864e-18
380.0,-2.690966000199994e-18
382.0,1.0278984255600013e-18
384.0,7.720063305703651e-18
386.0,9.269350750495104e-18
388.0,5.779925723835997e-18
390.0,2.8355393967364073e-18
392.0,3.2477358138460513e-18
394.0,5.318639022353766e-18
396.0,6.546743116311593e-18
398.0,6.462199064205135e-18
400.0,6.337697216951147e-18
402.0,7.341436597981618e-18
404.0,9.228319831779496e-18
406.0,1.0880060861806182e-17
408.0,1.1471608837275584e-17
410.0,1.1153224693110606e-17
412.0,1.070408504792561e-17
414.0,1.0701471142817355e-17
416.0,1.0892067320827548e-17
418.0,1.0640889366999822e-17
420.0,9.593828958231265e-18
422.0,8.121563726544796e-18
424.0,7.11191103975897e-18
426.0,7.308275177698397e-18
428.0,8.716416791310917e-18
430.0,1.0668284638714675e-17
432.0,1.2244197513908244e-17
434.0,1.2879589083127128e-17
436.0,1.271889206377862e-17
438.0,1.2417843422580101e-17
440.0,1.2642123594284389e-17
442.0,1.3774727424073877e-17
444.0,1.5696266158360403e-17
446.0,1.7945667895877517e-17
448.0,2.0005626902057142e-17
450.0,2.1562036075844586e-17
452.0,2.263027786859717e-17
454.0,2.3432781169742923e-17
456.0,2.419268885959868e-17
458.0,2.5056837324630745e-17
460.0,2.5892337592935018e-17
462.0,2.6516594003521897e-17
464.0,2.6712132662929256e-17
466.0,2.6342810921936202e-17
468.0,2.5580338853716247e-17
470.0,2.455135618835704e-17
472.0,2.3564346180194008e-17
474.0,2.2832852140016823e-17
476.0,2.2432638652271056e-17
478.0,2.2332720533030914e-17
480.0,2.2469738537091596e-17
482.0,2.264858157629236e-17
484.0,2.28601846500154e-17
486.0,2.300643124052811e-17
488.0,2.31828908151247e-17
490.0,2.3441792203437125e-17
492.0,2.3819633106371357e-17
494.0,2.424015100776587e-17
496.0,2.4623244698605295e-17
498.0,2.4884349195777384e-17
500.0,2.4891301354774665e-17
502.0,2.447590347253469e-17
504.0,2.37672437715066e-17
506.0,2.2804762206575043e-17
508.0,2.1806868943509223e-17
510.0,2.10232656505849e-17
512.0,2.0657770876760582e-17
514.0,2.0901491594037138e-17
516.0,2.1833757811234202e-17
518.0,2.3414663735302578e-17
520.0,2.5461013581499056e-17
522.0,2.78411864410271e-17
524.0,3.0289385273098765e-17
526.0,3.252285635737795e-17
528.0,3.439284184253865e-17
530.0,3.5781315688460547e-17
532.0,3.6563241595341245e-17
534.0,3.6851689899897127e-17
536.0,3.68203944703093e-17
538.0,3.6539220389213084e-17
540.0,3.6139113539003096e-17
542.0,3.5835242707864836e-17
544.0,3.573603085642793e-17
546.0,3.576946514434936e-17
548.0,3.603950809706736e-17
550.0,3.650857591485539e-17
552.0,3.7128378392450275e-17
554.0,3.768503545381213e-17
556.0,3.8276848081469e-17
558.0,3.876233785713728e-17
560.0,3.907561018764787e-17
562.0,3.923729569793966e-17
564.0,3.927501204134109e-17
566.0,3.923732014825686e-17
568.0,3.913248646744709e-17
570.0,3.910290433026892e-17
572.0,3.9161876012937116e-17
574.0,3.915964936867458e-17
576.0,3.917309647396402e-17
578.0,3.911396860365642e-17
580.0,3.908591210359713e-17
582.0,3.899100282747228e-17
584.0,3.879447119791266e-17
586.0,3.870874494560067e-17
588.0,3.863090005105858e-17
590.0,3.863666304124671e-17
592.0,3.881358475843684e-17
594.0,3.887381896707835e-17
596.0,3.8938822360912945e-17
598.0,3.913745165468393e-17
600.0,3.936351275804289e-17
602.0,3.959877041379958e-17
604.0,3.9756429772249626e-17
606.0,3.991155164382094e-17
608.0,4.0046793947366475e-17
610.0,4.024216907628329e-17
612.0,4.0542706253660914e-17
614.0,4.0950446174603933e-17
616.0,4.1471796775078837e-17
618.0,4.2177395707048593e-17
620.0,4.2867162250396515e-17
622.0,4.378234910337116e-17
624.0,4.5060123722596095e-17
626.0,4.639320802016671e-17
628.0,4.7835977106940484e-17
630.0,4.934425678812942e-17
632.0,5.075550994747107e-17
634.0,5.218217063087112e-17
636.0,5.291316428546154e-17
638.0,5.337286708737103e-17
640.0,5.419805831038328e-17
642.0,5.5515093289477e-17
644.0,5.578056498005958e-17
646.0,5.60410041552112e-17
648.0,5.759698547973427e-17
650.0,6.044347559652778e-17
652.0,6.344164774080637e-17
654.0,6.540199075393589e-17
656.0,6.560789368061753e-17
658.0,6.421681408652242e-17
660.0,6.197755321507694e-17
662.0,5.954734873037033e-17
664.0,5.717360495377517e-17
666.0,5.4702892126312e-17
668.0,5.208448137201813e-17
670.0,4.935646326246684e-17
672.0,4.675297714055658e-17
674.0,4.4774693715094856e-17
676.0,4.3946857379393216e-17
678.0,4.406269929331418e-17
680.0,4.478446606017296e-17
682.0,4.5632955894624824e-17
684.0,4.625476617276271e-17
686.0,4.682123687196872e-17
688.0,4.788406061154395e-17
690.0,4.995936689091557e-17
692.0,5.319184859874352e-17
694.0,5.75003692982119e-17
696.0,6.190227797832353e-17
698.0,6.549729979763978e-17
700.0,6.748869059880251e-17
702.0,6.785343126852766e-17
704.0,6.646262532275414e-17
706.0,6.40665400056903e-17
708.0,6.134927584499868e-17
710.0,5.854713163087328e-17
712.0,5.608622409496477e-17
714.0,5.4230326233297564e-17
716.0,5.328167025043253e-17
718.0,5.346934113656859e-17
720.0,5.491505184435919e-17
722.0,5.794811471466293e-17
724.0,6.197135991740498e-17
726.0,6.658947196494012e-17
728.0,7.128958570673705e-17
730.0,7.517373559205037e-17
732.0,7.789858098231514e-17
734.0,7.97153725091155e-17
736.0,8.118855670789452e-17
738.0,8.256077410041381e-17
740.0,8.432865361242918e-17
742.0,8.669776400437443e-17
744.0,8.922744640827932e-17
746.0,9.154490798894147e-17
748.0,9.304860613111617e-17
750.0,9.371012450113349e-17
752.0,9.309581477857261e-17
754.0,9.183015199717879e-17
756.0,8.990278687909235e-17
758.0,8.8070085867535e-17
760.0,8.652588888432049e-17
762.0,8.504553791713151e-17
764.0,8.371903185361313e-17
766.0,8.240236383819706e-17
768.0,8.089173560186926e-17
770.0,7.941271537774593e-17
772.0,7.779713545171196e-17
774.0,7.649213701838173e-17
776.0,7.594359940647021e-17
778.0,7.624373726962226e-17
780.0,7.735945490922751e-17
782.0,7.891778289188999e-17
784.0,8.101614075902042e-17
786.0,8.294006411173281e-17
788.0,8.443468396257252e-17
790.0,8.545502833303546e-17
792.0,8.597283868376937e-17
794.0,8.633951375214382e-17
796.0,8.6750726923373e-17
798.0,8.725191673389629e-17
800.0,8.822888924002015e-17
802.0,8.942546903410868e-17
804.0,9.075503199836375e-17
806.0,9.227574630415235e-17
808.0,9.344879352385598e-17
810.0,9.419792310451354e-17
812.0,9.455781627706746e-17
814.0,9.420867045323939e-17
816.0,9.405537731700924e-17
818.0,9.35008772946848e-17
820.0,9.310891340742108e-17
822.0,9.257659382901983e-17
824.0,9.219743625935837e-17
826.0,9.214049182006528e-17
828.0,9.207856567553378e-17
830.0,9.19212437421302e-17
832.0,9.173379733337638e-17
834.0,9.123193908334985e-17
836.0,9.068142638174581e-17
838.0,9.029696003269694e-17
840.0,8.949108451262253e-17
842.0,8.877280446299498e-17
844.0,8.76060479236646e-17
846.0,8.715229111502877e-17
848.0,8.67571472193506e-17
850.0,8.65425782296332e-17
852.0,8.619918091587332e-17
854.0,8.623698332081322e-17
856.0,8.644610658618172e-17
858.0,8.695603748879349e-17
860.0,8.735732981838391e-17
862.0,8.770272434227927e-17
864.0,8.819765064452908e-17
866.0,8.86197669503763e-17
868.0,8.947716346009078e-17
870.0,8.919956547301186e-17
872.0,8.963042177599575e-17
874.0,8.961059753433908e-17
876.0,8.981050702553165e-17
878.0,9.011137836203097e-17
880.0,9.101236539678528e-17
882.0,9.145513668875105e-17
884.0,9.191178015610879e-17
886.0,9.222118271356965e-17
888.0,9.258655145911376e-17
890.0,9.296849478588769e-17
892.0,9.296310553345329e-17
894.0,9.267297901516553e-17
896.0,9.26254488888826e-17
898.0,9.204780007810042e-17
900.0,9.167364688523867e-17
902.0,9.137294435093939e-17
904.0,9.091661585627484e-17
906.0,9.062288074281282e-17
908.0,9.110842428275763e-17
910.0,9.123511955122204e-17
912.0,9.169416505041279e-17
914.0,9.247374039551501e-17
916.0,9.333893474222284e-17
918.0,9.340002069401254e-17
920.0,9.373346931581746e-17
922.0,9.444615994234107e-17
924.0,9.390972279041752e-17
926.0,9.314367284299482e-17
928.0,9.28511345210701e-17
930.0,9.179153161325612e-17
932.0,9.061804821814778e-17
934.0,8.987240789272137e-17
936.0,8.926841200837547e-17
938.0,8.905909508953851e-17
940.0,8.869073915281646e-17
942.0,8.863336494139927e-17
944.0,8.988287802212193e-17
946.0,8.994579059741003e-17
948.0,9.040473240097058e-17
950.0,9.178120958051717e-17
952.0,9.165261905089939e-17
954.0,9.179609624481979e-17
956.0,9.232503553479328e-17
958.0,9.184377124641054e-17
960.0,9.135051653502406e-17
962.0,9.068416677532448e-17
964.0,9.016995384442795e-17
966.0,8.871569173235254e-17
968.0,8.803718102445647e-17
970.0,8.780653610750657e-17
972.0,8.650574019848475e-17
974.0,8.684135472463635e-17
976.0,8.67767146443051e-17
978.0,8.604464442533065e-17
980.0,8.723284222240588e-17
982.0,8.656279910767667e-17
984.0,8.707693226367495e-17
986.0,8.726014590131895e-17
988.0,8.651494873551666e-17
990.0,8.752476842870254e-17
992.0,8.66937082308492e-17
994.0,8.713478933209486e-17
996.0,8.742613598506606e-17
998.0,8.689632034924466e-17
1000.0,8.732333070234268e-17
1002.0,8.749609194870173e-17
1004.0,8.735875034054862e-17
1006.0,8.865823412898268e-17
1008.0,8.865883531231046e-17
1010.0,8.996101104688765e-17
1012.0,9.185848711693423e-17
1014.0,9.215898768678995e-17
1016.0,9.491397831132802e-17
1018.0,9.449871358461364e-17
1020.0,9.634907192242534e-17
